,id,lat,lon,time
98579,88671,11.95513888888889,59.456361111111114,2011-11-14
98744,54017,15.85242857142857,72.26742857142857,2011-11-23
98745,54038,15.675916666666666,71.96149999999999,2011-11-23
98828,81828,7.681194444444445,57.984111111111105,2011-11-23
98836,88652,5.63225,58.3295,2011-11-23
98838,88671,14.522388888888887,59.650555555555535,2011-11-23
99003,54017,16.225250000000003,71.36083333333335,2011-12-02
99004,54038,16.917888888888886,71.79722222222222,2011-12-02
99087,81828,6.245888888888887,56.64305555555556,2011-12-02
99095,88652,5.11,58.4925,2011-12-02
99097,88671,16.21155555555556,59.43813888888889,2011-12-02
99262,54017,17.11191666666666,71.01525,2011-12-11
99263,54038,17.78247222222223,70.90675,2011-12-11
99345,81824,5.581888888888888,64.86883333333333,2011-12-11
99346,81828,5.276999999999999,54.8942,2011-12-11
99354,88652,6.1390833333333354,58.27163888888887,2011-12-11
99356,88671,16.841055555555556,59.679083333333324,2011-12-11
99521,54017,17.37666666666667,70.28844444444445,2011-12-20
99522,54038,18.05961111111111,70.44244444444446,2011-12-20
99604,81824,6.803861111111111,64.35936111111113,2011-12-20
99613,88652,6.530083333333332,56.308444444444454,2011-12-20
99615,88671,15.4105,60.48033333333334,2011-12-20
99780,54017,17.118250000000003,70.12252777777778,2011-12-29
99781,54038,18.41444444444444,69.88980555555555,2011-12-29
99863,81824,7.855888888888889,64.5513888888889,2011-12-29
99872,88652,5.852416666666667,54.40549999999999,2011-12-29
99874,88671,13.892972222222223,60.105361111111115,2011-12-29
100039,54017,17.042722222222224,70.77002777777778,2012-01-07
100040,54038,18.30338888888889,69.03375,2012-01-07
100122,81824,8.60163888888889,66.00091666666668,2012-01-07
100131,88652,5.215714285714286,54.07157142857142,2012-01-07
100133,88671,13.317138888888888,59.427833333333346,2012-01-07
100298,54017,17.52072222222222,71.15050000000001,2012-01-16
100299,54038,18.435250000000003,69.07933333333332,2012-01-16
100381,81824,8.220916666666666,67.23263888888889,2012-01-16
100390,88652,5.354071428571428,53.98192857142859,2012-01-16
100392,88671,12.868833333333335,58.50638888888889,2012-01-16
100557,54017,18.232972222222223,70.92294444444444,2012-01-25
100558,54038,18.692555555555554,69.72547222222222,2012-01-25
100640,81824,8.045833333333333,67.96891666666664,2012-01-25
100649,88652,6.817583333333333,53.36994444444445,2012-01-25
100651,88671,12.141805555555555,57.313166666666675,2012-01-25
100816,54017,18.297027777777778,71.23819444444442,2012-02-03
100817,54038,18.756777777777778,68.2438611111111,2012-02-03
100899,81824,7.94863888888889,68.90944444444446,2012-02-03
100908,88652,8.758222222222223,52.07924999999999,2012-02-03
100910,88671,11.197777777777777,56.798416666666675,2012-02-03
101075,54017,18.329833333333333,71.38597222222222,2012-02-12
101076,54038,19.743277777777777,68.28666666666668,2012-02-12
101158,81824,7.797416666666667,68.50119444444447,2012-02-12
101167,88652,9.320736842105262,51.01768421052632,2012-02-12
101169,88671,10.546138888888889,56.33224999999999,2012-02-12
101334,54017,17.86163888888889,71.11855555555556,2012-02-21
101335,54038,19.39266666666667,67.44,2012-02-21
101417,81824,7.90602777777778,66.98399999999998,2012-02-21
101428,88671,11.502083333333333,55.68305555555555,2012-02-21
101593,54017,17.134,70.18386111111111,2012-03-01
101594,54038,20.123222222222225,67.34625,2012-03-01
101676,81824,7.206388888888889,66.8846388888889,2012-03-01
101687,88671,15.579166666666667,56.96644444444444,2012-03-01
101852,54017,16.788916666666665,70.07130555555557,2012-03-10
101853,54038,19.294416666666663,67.04511111111111,2012-03-10
101935,81824,7.134833333333333,67.99941666666668,2012-03-10
101946,88671,18.556416666666664,58.14825000000001,2012-03-10
102111,54017,15.764555555555555,70.33838888888889,2012-03-19
102112,54038,18.293388888888888,66.02469444444445,2012-03-19
102194,81824,6.563416666666665,69.22391666666664,2012-03-19
102205,88671,20.020916666666675,59.573944444444436,2012-03-19
102370,54017,14.118666666666662,71.23938888888888,2012-03-28
102371,54038,17.196916666666667,66.43430555555555,2012-03-28
102453,81824,6.273222222222222,69.3563611111111,2012-03-28
102464,88671,20.493027777777776,61.95986111111112,2012-03-28
102629,54017,13.253277777777777,71.73125,2012-04-06
102630,54038,16.762352941176474,66.97558823529413,2012-04-06
102712,81824,7.209666666666665,68.79583333333336,2012-04-06
102723,88671,19.92155555555555,62.43374999999998,2012-04-06
102888,54017,13.061944444444444,71.70222222222222,2012-04-15
102971,81824,8.879111111111111,68.27991666666668,2012-04-15
102977,82625,5.940884615384615,54.87996153846156,2012-04-15
102982,88671,20.862361111111113,62.34180555555555,2012-04-15
103147,54017,13.131444444444444,71.66916666666667,2012-04-24
103230,81824,11.077638888888892,67.55938888888889,2012-04-24
103236,82625,7.789083333333333,55.4073611111111,2012-04-24
103241,88671,21.702611111111114,61.80175,2012-04-24
103406,54017,12.921083333333335,71.6691666666667,2012-05-03
103489,81824,10.062055555555554,66.67266666666666,2012-05-03
103495,82625,6.64336111111111,55.8138611111111,2012-05-03
103500,88671,21.71916666666667,63.122388888888885,2012-05-03
103665,54017,12.621472222222224,71.72727777777777,2012-05-12
103748,81824,8.729805555555556,67.39450000000001,2012-05-12
103754,82625,5.531375000000001,54.833968750000004,2012-05-12
103759,88671,22.15013888888889,65.48,2012-05-12
103924,54017,12.279518518518517,71.67929629629629,2012-05-21
104007,81824,8.346277777777777,67.52880555555558,2012-05-21
104013,82625,5.121833333333333,54.68163333333334,2012-05-21
104018,88671,21.478472222222226,68.13422222222222,2012-05-21
